Gymnasieprogram_kod,Gymnasieprogram,Gymnasieprogramstyp
*,Uppgift saknas,
BA,Bygg- och anläggningsprogrammet,Yrkesprogram
BA000000I,Bygg- och anläggningsprogrammet (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
BA000000N,Bygg- och anläggningsprogrammet (Nationellt godkänd idrottsutbildning),Yrkesprogram
BAANL,"Bygg- och anläggningsprogrammet, Anläggningsfordon",Yrkesprogram
BAANL000I,Bygg- och anläggningsprogrammet; Anläggningsfordon (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
BAANL000N,Bygg- och anläggningsprogrammet; Anläggningsfordon (Nationellt godkänd idrottsutbildning),Yrkesprogram
BAANL0A0I,"Bygg- och anläggningsprogrammet; Anläggningsfordon, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BAANL0A0N,"Bygg- och anläggningsprogrammet; Anläggningsfordon, anställd lärlingb (Nationellt godkänd idrottsutbildning)",Yrkesprogram
BAANL0L,"Bygg- och anläggningsprogrammet, Anläggningsfordon, lärling",Yrkesprogram
BAANL0L0I,"Bygg- och anläggningsprogrammet; Anläggningsfordon, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BAANL0L0N,"Bygg- och anläggningsprogrammet; Anläggningsfordon, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
BAHUS,"Bygg- och anläggningsprogrammet, Husbyggnad",Yrkesprogram
BAHUS000I,Bygg- och anläggningsprogrammet; Husbyggnad (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
BAHUS000N,Bygg- och anläggningsprogrammet; Husbyggnad (Nationellt godkänd idrottsutbildning),Yrkesprogram
BAHUS0A,"Bygg- och anläggningsprogrammet; Husbyggnad, anställd lärling",Yrkesprogram
BAHUS0A0I,"Bygg- och anläggningsprogrammet; Husbyggnad, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BAHUS0A0N,"Bygg- och anläggningsprogrammet; Husbyggnad, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
BAHUS0L,"Bygg- och anläggningsprogrammet, Husbyggnad, lärling",Yrkesprogram
BAHUS0L0I,"Bygg- och anläggningsprogrammet; Husbyggnad, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BAHUS0L0N,"Bygg- och anläggningsprogrammet; Husbyggnad, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
BAHUSV,"Bygg- och anläggningsprogrammet; Husbyggnad, särskild variant",Yrkesprogram
BAHUSV00I,"Bygg- och anläggningsprogrammet; Husbyggnad, särskild variant (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BAHUSV00N,"Bygg- och anläggningsprogrammet; Husbyggnad, särskild variant (Nationellt godkänd idrottsutbildning)",Yrkesprogram
BAHUSVA,"Bygg- och anläggningsprogrammet; Husbyggnad, särskild variant, anställd lärling",Yrkesprogram
BAHUSVA0I,"Bygg- och anläggningsprogrammet; Husbyggnad, särskild variant, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BAHUSVA0N,"Bygg- och anläggningsprogrammet; Husbyggnad, särskild variant, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
BAHUSVL,"Bygg- och anläggningsprogrammet; Husbyggnad, särskild variant, lärling",Yrkesprogram
BAHUSVL0I,"Bygg- och anläggningsprogrammet; Husbyggnad, särskild variant, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BAHUSVL0N,"Bygg- och anläggningsprogrammet; Husbyggnad, särskild variant, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
BAMAL,"Bygg- och anläggningsprogrammet, Måleri",Yrkesprogram
BAMAL000I,Bygg- och anläggningsprogrammet; Måleri (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
BAMAL000N,Bygg- och anläggningsprogrammet; Måleri (Nationellt godkänd idrottsutbildning),Yrkesprogram
BAMAL0A,"Bygg- och anläggningsprogrammet; Måleri, anställd lärling",Yrkesprogram
BAMAL0A0I,"Bygg- och anläggningsprogrammet; Måleri, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BAMAL0A0N,"Bygg- och anläggningsprogrammet; Måleri, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
BAMAL0L,"Bygg- och anläggningsprogrammet, Måleri, lärling",Yrkesprogram
BAMAL0L0I,"Bygg- och anläggningsprogrammet; Måleri, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BAMAL0L0N,"Bygg- och anläggningsprogrammet; Måleri, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
BAMAR,"Bygg- och anläggningsprogrammet, Mark och anläggning",Yrkesprogram
BAMAR000I,Bygg- och anläggningsprogrammet; Mark och anläggning (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
BAMAR000N,Bygg- och anläggningsprogrammet; Mark och anläggning (Nationellt godkänd idrottsutbildning),Yrkesprogram
BAMAR00R,"Bygg- och anläggningsprogrammet, Mark och anläggning (riksrekryterande)",Yrkesprogram
BAMAR00RI,Bygg- och anläggningsprogrammet; Mark och anläggning (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
BAMAR00RN,Bygg- och anläggningsprogrammet; Mark och anläggning (riksrekryterande) (Nationellt godkänd idrottsutbildning),Yrkesprogram
BAMAR0A,"Bygg- och anläggningsprogrammet; Mark och anläggning, anställd lärling",Yrkesprogram
BAMAR0A0I,"Bygg- och anläggningsprogrammet; Mark och anläggning, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BAMAR0A0N,"Bygg- och anläggningsprogrammet; Mark och anläggning, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
BAMAR0AR,"Bygg- och anläggningsprogrammet; Mark och anläggning, anställd lärling (riksrekryterande)",Yrkesprogram
BAMAR0ARI,"Bygg- och anläggningsprogrammet; Mark och anläggning, anställd lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BAMAR0ARN,"Bygg- och anläggningsprogrammet; Mark och anläggning, anställd lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
BAMAR0L,"Bygg- och anläggningsprogrammet, Mark och anläggning, lärling",Yrkesprogram
BAMAR0L0I,"Bygg- och anläggningsprogrammet; Mark och anläggning, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BAMAR0L0N,"Bygg- och anläggningsprogrammet; Mark och anläggning, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
BAMAR0LR,"Bygg- och anläggningsprogrammet, Mark och anläggning, lärling (riksrekryterande)",Yrkesprogram
BAMAR0LRI,"Bygg- och anläggningsprogrammet; Mark och anläggning, lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BAMAR0LRN,"Bygg- och anläggningsprogrammet; Mark och anläggning, lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
BAPLA,"Bygg- och anläggningsprogrammet, Plåtslageri",Yrkesprogram
BAPLA000I,Bygg- och anläggningsprogrammet; Plåtslageri (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
BAPLA000N,Bygg- och anläggningsprogrammet; Plåtslageri (Nationellt godkänd idrottsutbildning),Yrkesprogram
BAPLA0A,"Bygg- och anläggningsprogrammet; Plåtslageri, anställd lärling",Yrkesprogram
BAPLA0A0I,"Bygg- och anläggningsprogrammet; Plåtslageri, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BAPLA0A0N,"Bygg- och anläggningsprogrammet; Plåtslageri, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
BAPLA0L,"Bygg- och anläggningsprogrammet, Plåtslageri, lärling",Yrkesprogram
BAPLA0L0I,"Bygg- och anläggningsprogrammet; Plåtslageri, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BAPLA0L0N,"Bygg- och anläggningsprogrammet; Plåtslageri, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
BF,Barn- och fritidsprogrammet,Yrkesprogram
BF000000I,Barn- och fritidsprogrammet (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
BF000000N,Barn- och fritidsprogrammet (Nationellt godkänd idrottsutbildning),Yrkesprogram
BFFRI,"Barn- och fritidsprogrammet, Fritid och hälsa",Yrkesprogram
BFFRI000I,Barn- och fritidsprogrammet; Fritid och hälsa (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
BFFRI000N,Barn- och fritidsprogrammet; Fritid och hälsa (NIU),Yrkesprogram
BFFRI0A,"Barn- och fritidsprogrammet; Fritid och hälsa, anställd lärling",Yrkesprogram
BFFRI0A0I,"Barn- och fritidsprogrammet; Fritid och hälsa, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BFFRI0A0N,"Barn- och fritidsprogrammet; Fritid och hälsa, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
BFFRI0L,"Barn- och fritidsprogrammet, Fritid och hälsa, lärling",Yrkesprogram
BFFRI0L0I,"Barn- och fritidsprogrammet; Fritid och hälsa, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BFFRI0L0N,"Barn- och fritidsprogrammet; Fritid och hälsa, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
BFPED,"Barn- och fritidsprogrammet, Pedagogiskt arbete",Yrkesprogram
BFPED000I,Barn- och fritidsprogrammet; Pedagogiskt arbete (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
BFPED000N,Barn- och fritidsprogrammet; Pedagogiskt arbete (Nationellt godkänd idrottsutbildning),Yrkesprogram
BFPED0A,"Barn- och fritidsprogrammet; Pedagogiskt arbete, anställd lärling",Yrkesprogram
BFPED0A0I,"Barn- och fritidsprogrammet; Pedagogiskt arbete, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BFPED0A0N,"Barn- och fritidsprogrammet; Pedagogiskt arbete, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
BFPED0L,"Barn- och fritidsprogrammet, Pedagogiskt arbete, lärling",Yrkesprogram
BFPED0L0I,"Barn- och fritidsprogrammet; Pedagogiskt arbete, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BFPED0L0N,"Barn- och fritidsprogrammet; Pedagogiskt arbete, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
BFSOC,"Barn- och fritidsprogrammet, Socialt arbete",Yrkesprogram
BFSOC000I,Barn- och fritidsprogrammet; Socialt arbete (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
BFSOC000N,Barn- och fritidsprogrammet; Socialt arbete (Nationellt godkänd idrottsutbildning),Yrkesprogram
BFSOC0A,"Barn- och fritidsprogrammet; Socialt arbete, anställd lärling",Yrkesprogram
BFSOC0A0I,"Barn- och fritidsprogrammet; Socialt arbete, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BFSOC0A0N,"Barn- och fritidsprogrammet; Socialt arbete, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
BFSOC0L,"Barn- och fritidsprogrammet, Socialt arbete, lärling",Yrkesprogram
BFSOC0L0I,"Barn- och fritidsprogrammet; Socialt arbete, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BFSOC0L0N,"Barn- och fritidsprogrammet; Socialt arbete, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
EE,El- och energiprogrammet,Yrkesprogram
EE000000I,El- och energiprogrammet (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
EE000000N,El- och energiprogrammet (Nationellt godkänd idrottsutbildning),Yrkesprogram
EEAUT,"El- och energiprogrammet, Automation",Yrkesprogram
EEAUT000I,El- och energiprogrammet; Automation (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
EEAUT000N,El- och energiprogrammet; Automation (Nationellt godkänd idrottsutbildning),Yrkesprogram
EEAUT0A,"El- och energiprogrammet; Automation, anställd lärling",Yrkesprogram
EEAUT0A0I,"El- och energiprogrammet; Automation, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
EEAUT0A0N,"El- och energiprogrammet; Automation, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
EEAUT0L,"El- och energiprogrammet, Automation, lärling",Yrkesprogram
EEAUT0L0I,"El- och energiprogrammet; Automation, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
EEAUT0L0N,"El- och energiprogrammet; Automation, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
EEDAT,"El- och energiprogrammet, Dator- och kommunikationsteknik",Yrkesprogram
EEDAT000I,El- och energiprogrammet; Dator- och kommunikationsteknik (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
EEDAT000N,El- och energiprogrammet; Dator- och kommunikationsteknik (Nationellt godkänd idrottsutbildning),Yrkesprogram
EEDAT0A,"El- och energiprogrammet; Dator- och kommunikationsteknik, anställd lärling",Yrkesprogram
EEDAT0A0I,"El- och energiprogrammet; Dator- och kommunikationsteknik, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
EEDAT0A0N,"El- och energiprogrammet; Dator- och kommunikationsteknik, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
EEDAT0L,"El- och energiprogrammet, Dator- och kommunikationsteknik, lärling",Yrkesprogram
EEDAT0L0I,"El- och energiprogrammet; Dator- och kommunikationsteknik, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
EEDAT0L0N,"El- och energiprogrammet; Dator- och kommunikationsteknik, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
EEELT,"El- och energiprogrammet, Elteknik",Yrkesprogram
EEELT000I,El- och energiprogrammet; Elteknik (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
EEELT000N,El- och energiprogrammet; Elteknik (Nationellt godkänd idrottsutbildning),Yrkesprogram
EEELT00R,"El- och energiprogrammet, Elteknik (riksrekryterande)",Yrkesprogram
EEELT00RI,El- och energiprogrammet; Elteknik (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
EEELT00RN,El- och energiprogrammet; Elteknik (riksrekryterande) (Nationellt godkänd idrottsutbildning),Yrkesprogram
EEELT0A,"El- och energiprogrammet; Elteknik, anställd lärling",Yrkesprogram
EEELT0A0I,"El- och energiprogrammet; Elteknik, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
EEELT0A0N,"El- och energiprogrammet; Elteknik, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
EEELT0AR,"El- och energiprogrammet; Elteknik, anställd lärling (riksrekryterande)",Yrkesprogram
EEELT0ARI,"El- och energiprogrammet; Elteknik, anställd lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
EEELT0ARN,"El- och energiprogrammet; Elteknik, anställd lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
EEELT0L,"El- och energiprogrammet, Elteknik, lärling",Yrkesprogram
EEELT0L0I,"El- och energiprogrammet; Elteknik, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
EEELT0L0N,"El- och energiprogrammet; Elteknik, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
EEELT0LR,"El- och energiprogrammet, Elteknik, lärling (riksrekryterande)",Yrkesprogram
EEELT0LRI,"El- och energiprogrammet; Elteknik, lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
EEELT0LRN,"El- och energiprogrammet; Elteknik, lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
EEELTV,"El- och energiprogrammet, Elteknik, särskild variant",Yrkesprogram
EEELTV00I,"El- och energiprogrammet; Elteknik, särskild variant (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
EEELTV00N,"El- och energiprogrammet; Elteknik, särskild variant (Nationellt godkänd idrottsutbildning)",Yrkesprogram
EEELTV0R,"El- och energiprogrammet; Elteknik, särskild variant (riksrekryterande)",Yrkesprogram
EEELTV0RI,"El- och energiprogrammet; Elteknik, särskild variant (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
EEELTV0RN,"El- och energiprogrammet; Elteknik, särskild variant (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
EEELTVA,"El- och energiprogrammet; Elteknik, särskild variant, anställd lärling",Yrkesprogram
EEELTVA0I,"El- och energiprogrammet; Elteknik, särskild variant, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
EEELTVA0N,"El- och energiprogrammet; Elteknik, särskild variant, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
EEELTVAR,"El- och energiprogrammet; Elteknik, särskild variant, anställd lärling (riksrekryterande)",Yrkesprogram
EEELTVARI,"El- och energiprogrammet; Elteknik, särskild variant, anställd lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
EEELTVARN,"El- och energiprogrammet; Elteknik, särskild variant, anställd lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
EEELTVL,"El- och energiprogrammet, Elteknik, särskild variant, lärling",Yrkesprogram
EEELTVL0I,"El- och energiprogrammet; Elteknik, särskild variant, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
EEELTVL0N,"El- och energiprogrammet; Elteknik, särskild variant, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
EEELTVLR,"El- och energiprogrammet; Elteknik, särskild variant, lärling (riksrekryterande)",Yrkesprogram
EEELTVLRI,"El- och energiprogrammet; Elteknik, särskild variant, lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
EEELTVLRN,"El- och energiprogrammet; Elteknik, särskild variant, lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
EEENE,"El- och energiprogrammet, Energiteknik",Yrkesprogram
EEENE000I,El- och energiprogrammet; Energiteknik (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
EEENE000N,El- och energiprogrammet; Energiteknik (Nationellt godkänd idrottsutbildning),Yrkesprogram
EEENE00R,"El- och energiprogrammet, Energiteknik (riksrekryterande)",Yrkesprogram
EEENE00RI,El- och energiprogrammet; Energiteknik (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
EEENE00RN,El- och energiprogrammet; Energiteknik (riksrekryterande) (Nationellt godkänd idrottsutbildning),Yrkesprogram
EEENE0A,"El- och energiprogrammet; Energiteknik, anställd lärling",Yrkesprogram
EEENE0A0I,"El- och energiprogrammet; Energiteknik, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
EEENE0A0N,"El- och energiprogrammet; Energiteknik, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
EEENE0AR,"El- och energiprogrammet; Energiteknik, anställd lärling (riksrekryterande)",Yrkesprogram
EEENE0ARI,"El- och energiprogrammet; Energiteknik, anställd lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
EEENE0ARN,"El- och energiprogrammet; Energiteknik, anställd lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
EEENE0L,"El- och energiprogrammet, Energiteknik, lärling",Yrkesprogram
EEENE0L0I,"El- och energiprogrammet; Energiteknik, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
EEENE0L0N,"El- och energiprogrammet; Energiteknik, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
EEENE0LR,"El- och energiprogrammet, Energiteknik, lärling (riksrekryterande)",Yrkesprogram
EEENE0LRI,"El- och energiprogrammet; Energiteknik, lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
EEENE0LRN,"El- och energiprogrammet; Energiteknik, lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
EK,Ekonomiprogrammet,Högskoleförberedande program
EK000000I,Ekonomiprogrammet (Idrottsutbildning vid riksidrottsgymnasium),Högskoleförberedande program
EK000000N,Ekonomiprogrammet (Nationellt godkänd idrottsutbildning),Högskoleförberedande program
EKEKNVS,"Ekonomiprogrammet; Särskild variant, internationell ekonomi (spetsutbildning)",Högskoleförberedande program
EKEKNVS0I,"Ekonomiprogrammet; Särskild variant, internationell ekonomi (spetsutbildning) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
EKEKNVS0N,"Ekonomiprogrammet; Särskild variant, internationell ekonomi (spetsutbildning) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
EKEKO,"Ekonomiprogrammet, Ekonomi",Högskoleförberedande program
EKEKO000I,Ekonomiprogrammet; Ekonomi (Idrottsutbildning vid riksidrottsgymnasium),Högskoleförberedande program
EKEKO000N,Ekonomiprogrammet; Ekonomi (Nationellt godkänd idrottsutbildning),Högskoleförberedande program
EKEKOVE,"Ekonomiprogrammet, Ekonomi, särskild variant inom det estetiska området",Högskoleförberedande program
EKEKOVE0I,"Ekonomiprogrammet; Ekonomi, särskild variant inom det estetiska området (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
EKEKOVE0N,"Ekonomiprogrammet; Ekonomi, särskild variant inom det estetiska området (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
EKENTVS,"Ekonomiprogrammet, Särskild variant, entreprenörskap (spetsutbildning)",Högskoleförberedande program
EKENTVS0I,"Ekonomiprogrammet; Särskild variant, entreprenörskap (spetsutbildning) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
EKENTVS0N,"Ekonomiprogrammet; Särskild variant, entreprenörskap (spetsutbildning) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
EKFINVS,"Ekonomiprogrammet, Särskild variant, finans (spetsutbildning)",Högskoleförberedande program
EKFINVS0I,"Ekonomiprogrammet; Särskild variant, finans (spetsutbildning) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
EKFINVS0N,"Ekonomiprogrammet; Särskild variant, finans (spetsutbildning) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
EKJUR,"Ekonomiprogrammet, Juridik",Högskoleförberedande program
EKJUR000I,Ekonomiprogrammet; Juridik (Idrottsutbildning vid riksidrottsgymnasium),Högskoleförberedande program
EKJUR000N,Ekonomiprogrammet; Juridik (Nationellt godkänd idrottsutbildning),Högskoleförberedande program
EKJURVE,"Ekonomiprogrammet, Juridik, särskild variant inom det estetiska området",Högskoleförberedande program
EKJURVE0I,"Ekonomiprogrammet; Juridik, särskild variant inom det estetiska området (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
EKJURVE0N,"Ekonomiprogrammet; Juridik, särskild variant inom det estetiska området (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
EKMUSVE,"Ekonomiprogrammet; Särskild variant inom det estetiska området, musik",Högskoleförberedande program
EKMUSVE0I,"Ekonomiprogrammet; Särskild variant inom det estetiska området, musik (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
EKMUSVE0N,"Ekonomiprogrammet; Särskild variant inom det estetiska området, musik (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
ES,Estetiska programmet,Högskoleförberedande program
ES000000I,Estetiska programmet (Idrottsutbildning vid riksidrottsgymnasium),Högskoleförberedande program
ES000000N,Estetiska programmet (Nationellt godkänd idrottsutbildning),Högskoleförberedande program
ESANIV0R,"Estetiska programmet, Särskild variant, animation (riksrekryterande)",Högskoleförberedande program
ESANIV0RI,"Estetiska programmet; Särskild variant, animation (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
ESANIV0RN,"Estetiska programmet; Särskild variant, animation (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
ESANIVS,"Estetiska programmet; Särskild variant, animation (spetsutbildning)",Högskoleförberedande program
ESANIVS0I,"Estetiska programmet; Särskild variant, animation (spetsutbildning) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
ESANIVS0N,"Estetiska programmet; Särskild variant, animation (spetsutbildning) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
ESBIL,"Estetiska programmet, Bild och formgivning",Högskoleförberedande program
ESBIL000I,Estetiska programmet; Bild och formgivning (Idrottsutbildning vid riksidrottsgymnasium),Högskoleförberedande program
ESBIL000N,Estetiska programmet; Bild och formgivning (Nationellt godkänd idrottsutbildning),Högskoleförberedande program
ESBIL0S,Estetiska programmet; Bild och formgivning (spetsutbildning),Högskoleförberedande program
ESBIL0S0I,Estetiska programmet; Bild och formgivning (spetsutbildning) (Idrottsutbildning vid riksidrottsgymnasium),Högskoleförberedande program
ESBIL0S0N,Estetiska programmet; Bild och formgivning (spetsutbildning) (Nationellt godkänd idrottsutbildning),Högskoleförberedande program
ESBILV,"Estetiska programmet, Bild och formgivning, särskild variant",Högskoleförberedande program
ESBILV00I,"Estetiska programmet; Bild och formgivning, särskild variant (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
ESBILV00N,"Estetiska programmet; Bild och formgivning, särskild variant (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
ESBILVS,"Estetiska programmet, Bild och formgivning, särskild variant (spetsutbildning)",Högskoleförberedande program
ESBILVS0I,"Estetiska programmet; Bild och formgivning, särskild variant (spetsutbildning) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
ESBILVS0N,"Estetiska programmet; Bild och formgivning, särskild variant (spetsutbildning) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
ESCIRV0R,"Estetiska programmet, Särskild variant, cirkus (riksrekryterande)",Högskoleförberedande program
ESCIRV0RI,"Estetiska programmet; Särskild variant, cirkus (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
ESCIRV0RN,"Estetiska programmet; Särskild variant, cirkus (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
ESCIRVE,"Estetiska programmet; Särskild variant inom det estetiska området, cirkus",Högskoleförberedande program
ESCIRVE0I,"Estetiska programmet; Särskild variant inom det estetiska området, cirkus (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
ESCIRVE0N,"Estetiska programmet; Särskild variant inom det estetiska området, cirkus (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
ESCIRVS,"Estetiska programmet, Särskild variant, cirkus (spetsutbildning)",Högskoleförberedande program
ESCIRVS0I,"Estetiska programmet; Särskild variant, cirkus (spetsutbildning) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
ESCIRVS0N,"Estetiska programmet; Särskild variant, cirkus (spetsutbildning) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
ESDAN,"Estetiska programmet, Dans",Högskoleförberedande program
ESDAN000I,Estetiska programmet; Dans (Idrottsutbildning vid riksidrottsgymnasium),Högskoleförberedande program
ESDAN000N,Estetiska programmet; Dans (Nationellt godkänd idrottsutbildning),Högskoleförberedande program
ESDAN0S,"Estetiska programmet, Dans, (spetsutbildning)",Högskoleförberedande program
ESDAN0S0I,"Estetiska programmet; Dans, (spetsutbildning) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
